;local;nr_nota;item_nota;produto;qtd;unidade;preço;data;hora;pagamento
0;SUPERMERCADOS FESTVAL;64982;1;CUP N.FGO TERIY;1,0000;UN;3,19;01/08/2019;12:39:10-03:00;3 - Cartão de Crédito
1;SUPERMERCADOS FESTVAL;64982;2;CUP N.COSTELA 6;1,0000;UN;3,19;01/08/2019;12:39:10-03:00;3 - Cartão de Crédito
2;SUPERMERCADOS FESTVAL;64982;3;COOKIES TODDY 1;1,0000;UN;3,99;01/08/2019;12:39:10-03:00;3 - Cartão de Crédito
3;Famiglia Avelino Alimentos LTDA;3755;1;CALZONE DELIVERY;1,0000;UN;20,00;02/08/2019;13:03:38-03:00;99 - Outros
4;Famiglia Avelino Alimentos LTDA;3755;2;COCA COLA LATA;1,0000;UN;6,00;02/08/2019;13:03:38-03:00;99 - Outros
5;PANIFICADORA E MERCEARIA PAO E PAZ;38827;1;MAIONESE KG;0,6860;KG;13,72;03/08/2019;12:25:42-03:00;3 - Cartão de Crédito
6;PANIFICADORA E MERCEARIA PAO E PAZ;38827;2;FRANGO PEDACO ASSADO KG;1,3660;KG;42,35;03/08/2019;12:25:42-03:00;3 - Cartão de Crédito
7;PANIFICADORA E MERCEARIA PAO E PAZ;38827;3;SCHWEPPES CITRUS ORIGINAL 1,5;1,0000;UND;6,00;03/08/2019;12:25:42-03:00;3 - Cartão de Crédito
8;IRMAOS MUFFATO E CIA LTDA;136801;1;DESIN PINH SOL 1 75L;1,0000;Un;11,98;05/08/2019;14:11:09-03:00;3 - Cartão de Crédito
9;IRMAOS MUFFATO E CIA LTDA;136801;2;QUEIJO VIGOR 50g;1,0000;Un;3,69;05/08/2019;14:11:09-03:00;3 - Cartão de Crédito
10;IRMAOS MUFFATO E CIA LTDA;136801;3;MACARRA TODESCH 500g;1,0000;Un;3,29;05/08/2019;14:11:09-03:00;3 - Cartão de Crédito
11;IRMAOS MUFFATO E CIA LTDA;136801;4;CREME LEITE IT 200G;1,0000;Un;2,69;05/08/2019;14:11:09-03:00;3 - Cartão de Crédito
12;IRMAOS MUFFATO E CIA LTDA;136801;5;BISC TRAKINAS 126G;1,0000;Un;1,98;05/08/2019;14:11:09-03:00;3 - Cartão de Crédito
13;IRMAOS MUFFATO E CIA LTDA;136801;6;BISC TRAKINAS 126G;1,0000;Un;1,98;05/08/2019;14:11:09-03:00;3 - Cartão de Crédito
14;RAIADROGASIL S.A.;131598;1;NEOSORO AD 30ML;1,0000;UN;8,95;07/08/2019;19:48:17-03:00;3 - Cartão de Crédito
15;RAIADROGASIL S.A.;163009;1;NARAMIG 2,5MG 4'S;1,0000;UN;20,00;10/08/2019;10:02:24-03:00;3 - Cartão de Crédito
16;IRMAOS MUFFATO E CIA LTDA;271291;1;GUARDANAPO MILI 50UN;1,0000;Un;2,04;12/08/2019;13:21:01-03:00;3 - Cartão de Crédito
17;IRMAOS MUFFATO E CIA LTDA;271291;2;CANELA TRIANGULO 30G;1,0000;Un;3,84;12/08/2019;13:21:01-03:00;3 - Cartão de Crédito
18;IRMAOS MUFFATO E CIA LTDA;271291;3;ACUCAR CARAVELAS 1KG;1,0000;Un;1,88;12/08/2019;13:21:01-03:00;3 - Cartão de Crédito
19;IRMAOS MUFFATO E CIA LTDA;271291;4;FERM FLEISCHMAN 100g;1,0000;Un;2,69;12/08/2019;13:21:01-03:00;3 - Cartão de Crédito
20;IRMAOS MUFFATO E CIA LTDA;271291;5;OVO BRANCO DUZIA UN;1,0000;Un;4,89;12/08/2019;13:21:01-03:00;3 - Cartão de Crédito
21;IRMAOS MUFFATO E CIA LTDA;311069;1;PAPEL  PRATIC CAS 4m;1,0000;Un;4,49;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
22;IRMAOS MUFFATO E CIA LTDA;311069;2;REFRESC CLIGHT 8g;1,0000;Un;1,09;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
23;IRMAOS MUFFATO E CIA LTDA;311069;3;REFRESC CLIGHT 8g;1,0000;Un;1,09;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
24;IRMAOS MUFFATO E CIA LTDA;311069;4;REFRESC CLIGHT 8g;1,0000;Un;1,09;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
25;IRMAOS MUFFATO E CIA LTDA;311069;5;REFRESC CLIGHT 8g;1,0000;Un;1,09;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
26;IRMAOS MUFFATO E CIA LTDA;311069;6;REFRESC CLIGHT 8g;1,0000;Un;1,09;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
27;IRMAOS MUFFATO E CIA LTDA;311069;7;REFRESC CLIGHT 8g;1,0000;Un;1,09;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
28;IRMAOS MUFFATO E CIA LTDA;311069;8;REQUEIJA TIROL 180g;1,0000;Un;3,98;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
29;IRMAOS MUFFATO E CIA LTDA;311069;9;REFRI COC COLA 310ML;1,0000;Un;2,19;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
30;IRMAOS MUFFATO E CIA LTDA;311069;10;REFRI COC COLA 310ML;1,0000;Un;2,19;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
31;IRMAOS MUFFATO E CIA LTDA;311069;11;ACHOC PO NESCAU 400G;1,0000;Un;5,69;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
32;IRMAOS MUFFATO E CIA LTDA;311069;12;PAO CHEF FOODS 1KG;1,0000;Un;12,69;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
33;IRMAOS MUFFATO E CIA LTDA;311069;13;BATATA MR CRISP 176G;1,0000;Un;8,99;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
34;IRMAOS MUFFATO E CIA LTDA;311069;14;PANO FLABOM UN;1,0000;Un;9,99;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
35;IRMAOS MUFFATO E CIA LTDA;311069;15;BISC MARILAN  330g;1,0000;Un;4,49;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
36;IRMAOS MUFFATO E CIA LTDA;311069;16;CAFE LA SANTE 500G;1,0000;Un;8,19;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
37;IRMAOS MUFFATO E CIA LTDA;311069;17;FAR TRIGO ANACONDA 1;1,0000;Un;2,94;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
38;IRMAOS MUFFATO E CIA LTDA;311069;18;MOLHO HEINZ 340g;1,0000;Un;2,39;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
39;IRMAOS MUFFATO E CIA LTDA;311069;19;ARROZ BURITT PAR 1kg;1,0000;Un;2,59;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
40;IRMAOS MUFFATO E CIA LTDA;311069;20;IOGURTE DANONE 900g;1,0000;Un;8,49;13/08/2019;21:06:42-03:00;3 - Cartão de Crédito
